Date,Open,High,Low,Close,Adj Close,Volume
2020-12-15,124.389999,125.930000,123.440002,125.930000,121.497490,4356200
2020-12-16,125.930000,126.570000,125.290001,125.550003,121.130867,4530100
2020-12-17,126.080002,126.089996,124.910004,125.550003,121.130867,3788000
2020-12-18,125.589996,126.400002,124.970001,125.849998,121.420296,7552800
2020-12-21,123.970001,124.180000,121.720001,123.389999,119.046890,6115700
2020-12-22,123.309998,124.220001,122.410004,123.610001,119.259148,4336100
2020-12-23,123.879997,125.209999,123.739998,123.900002,119.538933,2693900
2020-12-24,125.000000,125.099998,124.209999,124.690002,120.301132,1761100
2020-12-28,125.099998,126.599998,124.459999,124.820000,120.426559,3615200
2020-12-29,125.349998,125.480003,123.239998,123.800003,119.442467,3487000
2020-12-30,123.800003,124.849998,123.629997,124.339996,119.963448,3380300
2020-12-31,124.220001,126.029999,123.989998,125.879997,121.449242,3574400
2021-01-04,125.849998,125.919998,123.040001,123.940002,119.577538,5179200
2021-01-05,125.010002,126.680000,124.610001,126.139999,121.700096,6114600
2021-01-06,126.900002,131.880005,126.720001,129.289993,124.739220,7956700
2021-01-07,130.039993,130.460007,128.259995,128.990005,124.449783,4507400
2021-01-08,128.570007,129.320007,126.980003,128.529999,124.005966,4676200
2021-01-11,127.949997,129.679993,127.660004,128.580002,124.054222,5601900
2021-01-12,129.089996,129.850006,127.940002,129.210007,124.662041,3749200
2021-01-13,129.149994,129.750000,126.459999,126.919998,122.452637,7677700
2021-01-14,128.020004,130.160004,127.550003,128.970001,124.430489,7503200
2021-01-15,128.279999,129.240005,127.669998,128.389999,123.870903,4905500
2021-01-19,129.279999,129.589996,128.089996,129.020004,124.478729,5398000
2021-01-20,129.699997,131.059998,128.559998,130.080002,125.501411,5598700
2021-01-21,130.119995,132.240005,130.050003,131.649994,127.016144,12539200
2021-01-22,120.699997,120.699997,117.360001,118.610001,114.435135,38063500
2021-01-25,118.760002,119.540001,117.449997,118.580002,114.406197,13686400
2021-01-26,119.180000,122.589996,118.419998,122.489998,118.178566,10694700
2021-01-27,122.080002,124.790001,121.620003,122.470001,118.159279,12146500
2021-01-28,122.800003,123.199997,120.070000,120.080002,115.853394,8084100
2021-01-29,120.220001,121.300003,118.900002,119.110001,114.917542,11825500
2021-02-01,119.900002,120.949997,118.730003,120.540001,116.297203,6250500
2021-02-02,119.360001,121.000000,119.279999,119.440002,115.235924,6341900
2021-02-03,119.040001,119.800003,118.120003,119.120003,114.927193,6715400
2021-02-04,119.910004,121.099998,118.870003,121.019997,116.760307,4562100
2021-02-05,121.000000,121.809998,120.519997,121.790001,117.503212,4565700
2021-02-08,122.620003,123.980003,122.400002,123.610001,119.259148,5888000
2021-02-09,121.900002,122.599998,121.050003,122.099998,119.376472,4717000
2021-02-10,123.029999,123.410004,121.209999,122.239998,119.513344,4866800
2021-02-11,122.000000,122.209999,120.629997,120.910004,118.213020,5381600
2021-02-12,121.000000,121.360001,120.089996,120.800003,118.105469,3871200
2021-02-16,120.150002,120.599998,119.360001,120.070000,117.391747,6639800
2021-02-17,119.269997,120.559998,119.019997,119.970001,117.293983,3959100
2021-02-18,120.500000,120.940002,119.699997,120.730003,118.037033,5398100
2021-02-19,120.750000,120.760002,118.379997,118.989998,116.335838,6578700
2021-02-22,118.500000,121.129997,118.440002,120.860001,118.164131,5879200
2021-02-23,120.919998,121.349998,119.800003,120.709999,118.017471,4531300
2021-02-24,120.800003,123.489998,120.519997,123.209999,120.461708,5820000
2021-02-25,123.370003,124.349998,122.339996,122.470001,119.738220,5691800
2021-02-26,122.250000,122.250000,118.879997,118.930000,116.277184,9051000
2021-03-01,120.349998,122.320000,119.860001,120.739998,118.046806,5714500
2021-03-02,120.739998,121.900002,120.260002,120.330002,117.645950,4524300
2021-03-03,120.500000,122.629997,119.980003,122.360001,119.630676,7404300
2021-03-04,122.000000,123.220001,118.760002,120.110001,117.430862,8068500
2021-03-05,120.639999,123.750000,120.250000,122.830002,120.090195,6949300
2021-03-08,122.989998,126.849998,122.879997,124.809998,122.026024,7239200
2021-03-09,125.400002,126.430000,124.160004,124.180000,121.410080,5609000
2021-03-10,125.050003,128.240005,124.610001,127.870003,125.017769,7247800
2021-03-11,128.089996,128.639999,126.779999,127.139999,124.304047,5146900
2021-03-12,127.190002,127.680000,126.610001,127.610001,124.763565,4010100
2021-03-15,127.769997,128.750000,127.540001,128.580002,125.711937,3420600
